scan_file,image,bucket,bucket_label,rule_label,total_dependency_count,vuln_total,critical_cve_count,high_cve_count,cvss_ge_7_count,max_cvss,unique_cwe_count,top25_cwe_count,base_image_age_days
data/scans/high-qual/alpine-3.18.json,alpine:3.18,high-qual,ALLOW,WARN,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0
data/scans/high-qual/alpine-3.19.json,alpine:3.19,high-qual,ALLOW,ALLOW,16.0,2.0,0.0,0.0,0.0,3.3,2.0,0.0,159.0
data/scans/high-qual/alpine-latest.json,alpine:latest,high-qual,ALLOW,ALLOW,17.0,2.0,1.0,1.0,1.0,9.8,2.0,1.0,0.0
data/scans/high-qual/alpine-edge.json,alpine:edge,high-qual,ALLOW,ALLOW,17.0,1.0,0.0,0.0,0.0,5.5,1.0,0.0,47.0
data/scans/high-qual/ubuntu-22.04.json,ubuntu:22.04,high-qual,ALLOW,ALLOW,102.0,16.0,0.0,4.0,5.0,8.6,15.0,5.0,0.0
data/scans/high-qual/ubuntu-24.04.json,ubuntu:24.04,high-qual,ALLOW,ALLOW,93.0,9.0,0.0,1.0,2.0,8.6,9.0,4.0,0.0
data/scans/high-qual/ubuntu-noble.json,ubuntu:noble,high-qual,ALLOW,ALLOW,93.0,9.0,0.0,1.0,2.0,8.6,9.0,4.0,0.0
data/scans/high-qual/ubuntu-jammy.json,ubuntu:jammy,high-qual,ALLOW,ALLOW,102.0,16.0,0.0,4.0,5.0,8.6,15.0,5.0,0.0
data/scans/high-qual/debian-bookworm-slim.json,debian:bookworm-slim,high-qual,ALLOW,ALLOW,89.0,46.0,3.0,14.0,10.0,10.0,29.0,8.0,0.0
data/scans/high-qual/debian-bullseye-slim.json,debian:bullseye-slim,high-qual,ALLOW,ALLOW,97.0,65.0,4.0,29.0,20.0,10.0,39.0,14.0,0.0
data/scans/high-qual/python-3.11-slim.json,python:3.11-slim,high-qual,ALLOW,ALLOW,107.0,40.0,1.0,11.0,8.0,10.0,24.0,8.0,0.0
data/scans/high-qual/python-3.12-slim.json,python:3.12-slim,high-qual,ALLOW,ALLOW,89.0,38.0,1.0,9.0,6.0,10.0,23.0,6.0,0.0
data/scans/high-qual/python-3.11-alpine.json,python:3.11-alpine,high-qual,ALLOW,ALLOW,58.0,6.0,1.0,3.0,3.0,9.8,4.0,4.0,0.0
data/scans/high-qual/python-3.12-alpine.json,python:3.12-alpine,high-qual,ALLOW,ALLOW,40.0,4.0,1.0,1.0,1.0,9.8,3.0,2.0,0.0
