scan_file,image,bucket,bucket_label,rule_label,total_dependency_count,vuln_total,critical_cve_count,high_cve_count,cvss_ge_7_count,max_cvss,unique_cwe_count,top25_cwe_count,justification,confidence
data/scans/high-qual/alpine-3.18.json,alpine:3.18,high-qual,ALLOW,ALLOW,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"No critical, high, or any other CVEs detected. All vulnerability counts (vuln_total: 0, critical_cve_count: 0, high_cve_count: 0) are zero, indicating a completely clean and secure image across its 16 components.",high
data/scans/high-qual/alpine-3.19.json,alpine:3.19,high-qual,ALLOW,ALLOW,16.0,2.0,0.0,0.0,0.0,3.3,2.0,0.0,No critical or high CVEs are present. The 2 vulnerabilities are low-severity (max_cvss 3.3) and neither maps to a MITRE Top 25 weakness class. Risk profile is negligible across all 16 components.,high
data/scans/high-qual/alpine-latest.json,alpine:latest,high-qual,ALLOW,WARN,17.0,2.0,1.0,1.0,1.0,9.8,2.0,1.0,"One critical CVE with max_cvss 9.8 is a serious finding, but across only 17 components, the breadth indicators are extremely low (2 unique CWEs, 1 Top 25 match). This indicates an isolated exploitable dependency, not systemic compromise, making it an urgent but manageable remediation task.",high
data/scans/high-qual/alpine-edge.json,alpine:edge,high-qual,ALLOW,ALLOW,17.0,1.0,0.0,0.0,0.0,5.5,1.0,0.0,"This image has no critical or high CVEs, and only 1 vulnerability overall with a moderate max_cvss of 5.5. Breadth indicators are minimal with only 1 unique CWE and 0 Top 25 CWEs across 17 components, indicating negligible risk.",high
data/scans/high-qual/ubuntu-22.04.json,ubuntu:22.04,high-qual,ALLOW,WARN,102.0,16.0,0.0,4.0,5.0,8.6,15.0,5.0,"No critical CVEs, but 4 HIGH CVEs and max_cvss 8.6 indicate actionable risk. Across 102 components, 5 Top 25 CWE matches and 15 unique weakness types suggest isolated remediation targets rather than systemic compromise — a sprint-cycle fix, not an emergency.",high
data/scans/high-qual/ubuntu-24.04.json,ubuntu:24.04,high-qual,ALLOW,WARN,93.0,9.0,0.0,1.0,2.0,8.6,9.0,4.0,"No critical CVEs, but one HIGH CVE with max_cvss 8.6 and 4 Top 25 CWE matches across 93 components. The low density (0.043) indicates isolated findings, but the presence of these actionable weaknesses warrants scheduled remediation within a normal engineering cycle.",high
data/scans/high-qual/ubuntu-noble.json,ubuntu:noble,high-qual,ALLOW,WARN,93.0,9.0,0.0,1.0,2.0,8.6,9.0,4.0,"No critical CVEs, but one HIGH CVE and max_cvss 8.6 indicate actionable risk. Across 93 components, only 4 Top 25 CWE matches and a density ratio of 0.043 suggest isolated remediation targets rather than systemic compromise; this is a sprint-cycle fix, not an emergency.",high
data/scans/high-qual/ubuntu-jammy.json,ubuntu:jammy,high-qual,ALLOW,WARN,102.0,16.0,0.0,4.0,5.0,8.6,15.0,5.0,"No critical CVEs, but 4 HIGH CVEs and max_cvss 8.6 indicate actionable risk. Across 102 components, 5 Top 25 CWE matches and 15 unique weakness types suggest isolated remediation targets rather than systemic compromise — a sprint-cycle fix, not an emergency.",high
data/scans/high-qual/debian-bookworm-slim.json,debian:bookworm-slim,high-qual,ALLOW,WARN,89.0,46.0,3.0,14.0,10.0,10.0,29.0,8.0,"3 critical CVEs and 14 high CVEs, with max_cvss 10.0, indicate actionable risk. However, the density of Top 25 CWEs (8 across 89 components, ratio ~0.09) is very low, suggesting isolated, prioritized remediation targets rather than systemic compromise. This is an urgent but manageable engineering task.",high
data/scans/high-qual/debian-bullseye-slim.json,debian:bullseye-slim,high-qual,ALLOW,WARN,97.0,65.0,4.0,29.0,20.0,10.0,39.0,14.0,"4 critical CVEs and 29 high CVEs, with max_cvss 10.0, indicate significant risk. However, the density of Top 25 CWEs (14 across 97 components, ratio ~0.14) is well below the systemic threshold. This suggests concentrated, actionable vulnerabilities rather than broad, pervasive compromise, making it a prioritized remediation task.",high
data/scans/high-qual/python-3.11-slim.json,python:3.11-slim,high-qual,ALLOW,WARN,107.0,40.0,1.0,11.0,8.0,10.0,24.0,8.0,"One critical CVE with max_cvss 10.0 and 11 high CVEs indicate actionable risk. However, the density of Top 25 CWEs is very low (8 across 107 components, ratio ~0.07), suggesting the risk is concentrated in isolated findings rather than systemic compromise. This requires urgent, but not emergency, remediation.",high
data/scans/high-qual/python-3.12-slim.json,python:3.12-slim,high-qual,ALLOW,WARN,89.0,38.0,1.0,9.0,6.0,10.0,23.0,6.0,"One critical CVE with max_cvss 10.0 and 9 high CVEs indicate actionable risk. However, across 89 components, the top25_cwe_count is only 6, resulting in a low density ratio (0.067). This suggests isolated, prioritized findings rather than systemic compromise, making it an urgent but routine remediation task.",high
data/scans/high-qual/python-3.11-alpine.json,python:3.11-alpine,high-qual,ALLOW,WARN,58.0,6.0,1.0,3.0,3.0,9.8,4.0,4.0,"One critical CVE with max_cvss 9.8 and 3 high CVEs indicate actionable risk. However, across 58 components, the breadth indicators are low (4 unique CWE types, 4 Top 25 matches), and the density ratio (0.069) is well below the systemic threshold. This suggests isolated exploitable dependencies, not systemic compromise; remediation is urgent but not emergency-level.",high
data/scans/high-qual/python-3.12-alpine.json,python:3.12-alpine,high-qual,ALLOW,WARN,40.0,4.0,1.0,1.0,1.0,9.8,3.0,2.0,"One critical CVE with max_cvss 9.8 is a serious, prioritized finding, but the breadth indicators are low — only 3 unique CWE types and 2 Top 25 matches across 40 components. This is an isolated exploitable dependency, not a systemic compromise; remediation is urgent but not emergency-level.",high
data/scans/high-qual/python-3.12.2-slim-bookworm.json,python:3.12.2-slim-bookworm,high-qual,ALLOW,WARN,110.0,133.0,10.0,66.0,43.0,10.0,66.0,41.0,"10 critical CVEs and 66 high CVEs with max_cvss 10.0 indicate significant risk. However, the top25_cwe_count (41) across 110 dependencies results in a density ratio of 0.37, which is elevated but well below the systemic compromise threshold of 1.0. This suggests a substantial remediation backlog that is urgent but manageable within normal engineering cycles, not an emergency BLOCK.",high
data/scans/high-qual/node-18-alpine.json,node:18-alpine,high-qual,ALLOW,WARN,222.0,28.0,1.0,22.0,14.0,9.8,18.0,14.0,"One critical CVE and 22 high CVEs indicate actionable risk. However, across 222 components, the top25_cwe_count (14) results in a density ratio of 0.06, well below the systemic threshold. This suggests an isolated, urgent remediation target rather than broad, systemic compromise.",high
data/scans/high-qual/node-20-alpine.json,node:20-alpine,high-qual,ALLOW,WARN,223.0,15.0,1.0,12.0,12.0,9.8,11.0,8.0,"One critical CVE (max_cvss 9.8) and 12 high CVEs indicate actionable risk. However, across 223 components, the top25_cwe_count (8) results in a density ratio of ~0.036, well below the systemic threshold. This suggests an urgent but isolated remediation target, not a broad compromise requiring emergency intervention.",high
data/scans/high-qual/node-21-alpine.json,node:21-alpine,high-qual,ALLOW,WARN,239.0,38.0,2.0,28.0,19.0,9.8,22.0,21.0,"Two critical CVEs and 28 high CVEs indicate actionable risk. However, across 239 components, the top25_cwe_count (21) results in a density ratio of 0.0878, well below the systemic threshold. This suggests concentrated, isolated findings rather than widespread compromise, making it an urgent but scheduled remediation task.",high
data/scans/high-qual/node-18-bookworm-slim.json,node:18-bookworm-slim,high-qual,ALLOW,WARN,293.0,73.0,3.0,32.0,27.0,10.0,44.0,20.0,"3 critical CVEs and 32 high CVEs, with max_cvss 10.0, indicate actionable risk. However, across 293 components, the top25_cwe_count of 20 yields a density ratio of ~0.068, well below the systemic threshold. This suggests concentrated, isolated remediation targets, not broad compromise; it's an urgent but structured engineering task.",high
